Total_Loss_Values,Log_Loss_Values
31.897415161132812,3.462524890899658
31.75350570678711,3.458003044128418
31.611759185791016,3.453529119491577
31.472003936767578,3.4490983486175537
31.335205078125,3.444742202758789
31.200855255126953,3.4404454231262207
31.068599700927734,3.4361977577209473
30.938383102416992,3.431997537612915
30.810977935791016,3.427870988845825
30.685665130615234,3.423795700073242
30.562589645385742,3.419776678085327
30.442474365234375,3.4158387184143066
30.324050903320312,3.4119410514831543
30.208026885986328,3.4081077575683594
30.094411849975586,3.404339551925659
29.98351287841797,3.4006476402282715
29.874439239501953,3.397003173828125
29.767908096313477,3.3934309482574463
29.663103103637695,3.389904022216797
29.56093406677246,3.386453628540039
29.460853576660156,3.3830623626708984
29.36293601989746,3.379733085632324
29.267282485961914,3.3764703273773193
29.17339515686035,3.3732571601867676
29.081422805786133,3.3700995445251465
28.99178695678711,3.3670125007629395
28.904354095458984,3.363992214202881
28.818910598754883,3.3610317707061768
28.734874725341797,3.358111619949341
28.653297424316406,3.3552684783935547
28.57300567626953,3.3524625301361084
28.4951114654541,3.3497326374053955
28.418880462646484,3.3470537662506104
28.344675064086914,3.3444392681121826
28.272306442260742,3.3418827056884766
28.2015380859375,3.339376449584961
28.13218116760254,3.3369140625
28.064579010009766,3.334508180618286
27.998615264892578,3.3321549892425537
27.93450355529785,3.329862594604492
27.871383666992188,3.3276004791259766
27.810518264770508,3.3254141807556152
27.75065803527832,3.3232595920562744
27.692779541015625,3.321171760559082
27.635839462280273,3.3191134929656982
27.58028793334961,3.317101240158081
27.5264835357666,3.3151485919952393
27.47408103942871,3.3132431507110596
27.422807693481445,3.311375141143799
27.37303924560547,3.309558629989624
27.32407569885254,3.3077681064605713
27.276824951171875,3.306037425994873
27.23069953918457,3.304344892501831
27.185863494873047,3.30269718170166
27.14194679260254,3.3010804653167725
27.099180221557617,3.2995035648345947
27.057235717773438,3.297954559326172
27.01675796508789,3.296457290649414
26.9771728515625,3.2949910163879395
26.938711166381836,3.2935643196105957
26.90131378173828,3.292175054550171
26.86477279663086,3.290815830230713
26.829225540161133,3.289491891860962
26.794147491455078,3.2881834506988525
26.760652542114258,3.2869327068328857
26.72813606262207,3.2857167720794678
26.695802688598633,3.284506320953369
26.6648006439209,3.283344268798828
26.63472557067871,3.2822158336639404
