Date,Scaled_BetaHL_Pred
2012-08-14,8.363897
2012-08-15,8.289967
2012-08-16,8.223429
2012-08-17,8.153195
2012-08-18,8.090355
2012-08-19,8.0275135
2012-08-20,7.9831553
2012-08-21,7.9351006
2012-08-22,7.8944387
2012-08-23,7.853777
2012-08-24,7.820508
2012-08-25,7.813115
2012-08-26,7.8352947
2012-08-27,7.8574734
2012-08-28,7.872259
2012-08-29,7.887046
2012-08-30,7.905528
2012-08-31,7.920315
2012-09-01,7.931404
2012-09-02,7.9424934
2012-09-03,7.9498863
2012-09-04,7.9609766
2012-09-05,7.972066
2012-09-06,7.9868517
2012-09-07,7.997942
2012-09-08,8.034906
2012-09-09,8.101444
2012-09-10,8.160588
2012-09-11,8.212339
2012-09-12,8.267787
2012-09-13,8.308449
2012-09-14,8.345414
2012-09-15,8.386076
2012-09-16,8.415648
2012-09-17,8.44522
2012-09-18,8.4747925
2012-09-19,8.500669
2012-09-20,8.522847
2012-09-21,8.545026
2012-09-22,8.655922
2012-09-23,8.829658
2012-09-24,8.988608
2012-09-25,9.136469
2012-09-26,9.265848
2012-09-27,9.391529
2012-09-28,9.506122
2012-09-29,9.605927
2012-09-30,9.705733
2012-10-01,9.79445
2012-10-02,9.872076
2012-10-03,9.949703
2012-10-04,10.016241
2012-10-05,10.079082
2012-10-06,10.249122
2012-10-07,10.518968
2012-10-08,10.759241
2012-10-09,10.977336
2012-10-10,11.176949
2012-10-11,11.358078
2012-10-12,11.520724
2012-10-13,11.668586
2012-10-14,11.805356
2012-10-15,11.931038
2012-10-16,12.0456295
2012-10-17,12.156526
2012-10-18,12.256331
2012-10-19,12.345048
2012-10-20,12.370924
2012-10-21,12.3413515
2012-10-22,12.319173
2012-10-23,12.2896
2012-10-24,12.263725
2012-10-25,12.241546
2012-10-26,12.219366
2012-10-27,12.200884
2012-10-28,12.178705
2012-10-29,12.163919
2012-10-30,12.149133
2012-10-31,12.13065
2012-11-01,12.115864
2012-11-02,12.101078
