Day,Day2,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_3332
239,40417,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,11,53,41,34,16,0,6,1,0,0,44,5,7,2,3,5,32,0,1,1,4,0,1,1,5,7,5,5,0,0,1,0,0,0,3,0,8,0,1,0,0,0,0,0,0,4,1,2,2,5,1,0,1,1,4,3,0,5,2,75
253,40431,1,1,0,0,5,0,0,0,1,0,1,0,3,1,0,0,1,4,9,80,31,36,9,1,1,3,0,3,32,2,12,9,6,6,23,0,0,1,5,0,2,1,1,10,0,6,2,1,0,0,1,1,3,2,2,0,1,0,0,0,0,0,1,4,0,3,0,2,1,1,0,0,2,5,0,1,0,67
267,40445,1,0,0,0,3,0,0,0,5,0,0,0,1,1,0,0,0,1,5,43,23,38,7,1,3,3,0,0,22,8,5,4,3,7,6,0,2,0,0,0,2,0,1,9,0,5,0,2,0,0,0,0,2,1,7,1,1,0,0,0,0,0,0,9,1,3,0,2,3,1,2,1,0,0,0,2,0,61
281,40459,0,0,0,0,2,0,1,0,1,0,0,1,6,0,1,1,0,0,5,65,21,22,12,1,1,0,0,7,20,2,4,2,1,6,8,1,1,1,1,0,0,0,1,1,0,4,0,1,1,0,0,0,3,1,3,1,0,0,0,0,0,0,1,3,0,3,3,0,1,0,1,2,1,4,0,2,0,43
295,40473,0,0,0,0,4,0,0,0,2,1,0,0,1,1,2,1,0,0,24,61,37,29,8,0,5,1,0,2,12,5,5,0,3,7,13,1,0,1,1,0,2,0,1,4,0,4,0,2,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,3,2,1,3,0,3,1,66
309,40487,1,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,4,2,34,18,8,5,0,4,1,0,0,7,1,2,3,7,3,10,0,0,0,1,0,0,0,0,4,0,1,0,2,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,11,0,1,0,6,3,0,159,1,2,5,1,5,3,26
323,40501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,10,15,4,0,0,0,0,0,6,0,1,0,1,3,9,0,0,0,0,0,2,0,0,1,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,3,0,0,93,2,9,7,0,0,1,25
337,40515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,18,8,13,6,0,0,0,0,3,11,0,1,0,3,1,4,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,9,3,5,5,0,1,3,21
351,40529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,7,0,0,0,2,0,0,5,0,2,0,0,1,2,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,2,1,5,2,0,10,1,2,0,0,0,1,10
365,40543,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,10,7,4,1,0,0,1,0,1,7,0,7,1,0,2,4,0,0,0,3,0,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,3,1,0,4,1,1,6,0,1,2,11
