,Day,Day2,ID.1,ID.2,ID.3,ID.4,ID.5,ID.6,ID.7,ID.8,ID.9,ID.10,ID.11,ID.12,ID.13,ID.14,ID.15,ID.16,ID.17,ID.18,ID.19,ID.20,ID.21,ID.22,ID.23,ID.24,ID.25,ID.26,ID.27,ID.28,ID.29,ID.30,ID.31,ID.32,ID.33,ID.34,ID.35,ID.36,ID.37,ID.38,ID.39,ID.40,ID.41,ID.42,ID.43,ID.44,ID.45,ID.46,ID.47,ID.48,ID.49,ID.50,ID.51,ID.52,ID.53,ID.54,ID.55,ID.56,ID.57,ID.58,ID.59,ID.60,ID.61,ID.62,ID.63,ID.64,ID.65,ID.66,ID.67,ID.68,ID.69,ID.70,ID.71,ID.72,ID.73,ID.74,ID.75,ID.76,ID.77,V81
11,81,39894,0.769951667,0.481087288,0.720803926,0.772043059,0.693869531,0.781579515,0.504798246,0.625994165,0.775670332,0.806265285,0.716639114,0.806594798,0.700131507,0.758777493,0.553147455,0.682838041,0.706647352,0.725722831,0.651098217,0.688521209,0.724062023,0.709584521,0.722731729,0.777702188,0.692526805,0.736298162,0.677269147,0.73617829,0.605271387,0.540382341,0.698342158,0.778098593,0.81780808,0.714915215,0.859061418,0.595363648,0.547782522,0.596372426,0.693490441,0.747042273,0.71193612,0.626139468,0.841777281,0.519749061,0.618852642,0.513464906,0.713164112,0.911654762,0.771260429,0.929475863,0.705913881,0.722661162,0.960813068,0.734045704,0.786573772,0.682626066,0.816925859,0.809832957,0.781043631,0.494903847,0.570142397,0.705064615,0.398069315,0.667546563,0.567762011,0.610740799,0.725527831,0.733414687,0.710053564,0.634549781,0.874249166,0.736311831,0.790128194,0.587237874,0.732348936,0.697046962,0.764275139,0.72351868
12,89,39902,0.761014034,0.508061966,0.72938727,0.790501864,0.67302712,0.775204162,0.525030387,0.610476031,0.769300417,0.806964292,0.743202962,0.772883256,0.646156471,0.759166901,0.567073478,0.671248351,0.6936756,0.661616007,0.651902163,0.699253198,0.722258828,0.707542416,0.729809125,0.776275839,0.684786553,0.719668272,0.697704521,0.736404936,0.590084868,0.554341573,0.669037369,0.800820969,0.823850351,0.716226919,0.867486239,0.623433818,0.561444612,0.594410892,0.654636536,0.744518552,0.737542896,0.618636978,0.813709931,0.548392068,0.633924971,0.529928253,0.73256212,0.897770115,0.747754025,0.887907234,0.64283483,0.696737684,0.967632866,0.730456515,0.764024498,0.69203811,0.825792861,0.836695073,0.792906825,0.481252342,0.499345884,0.686205717,0.422705868,0.647710236,0.597266523,0.620488227,0.672161773,0.716748083,0.70972359,0.571735863,0.856252119,0.714854333,0.794368684,0.571441725,0.744224136,0.685453176,0.756802297,0.71120023
13,97,39910,0.739744102,0.533858192,0.716004879,0.802152027,0.640390995,0.760845274,0.540848392,0.591610696,0.757498934,0.81260993,0.771992438,0.726902444,0.596950273,0.751012112,0.576012621,0.655506342,0.675358469,0.598894676,0.651280142,0.700652084,0.713173669,0.698889828,0.718053351,0.764830084,0.669758569,0.69981521,0.70763722,0.723516665,0.568674624,0.565712502,0.633305382,0.822952377,0.825408033,0.704839272,0.864990505,0.642409672,0.565550144,0.589445315,0.607452811,0.739222869,0.766814068,0.604399007,0.775072652,0.572634345,0.644166956,0.539470965,0.741869917,0.863817043,0.715881158,0.832771032,0.569877705,0.664079051,0.965727851,0.725037096,0.727175183,0.699241555,0.823338065,0.848443216,0.790188607,0.472725866,0.439684892,0.657160335,0.441234307,0.625929308,0.626776957,0.620134093,0.613980994,0.687739846,0.700437545,0.504767768,0.827555439,0.678413929,0.796489692,0.548717815,0.746405235,0.671027443,0.737144297,0.691493987
14,105,39918,0.706426208,0.549638581,0.676300506,0.80076628,0.598461849,0.737488168,0.547741751,0.568809571,0.739693451,0.819579356,0.797183629,0.670230859,0.554415363,0.731964985,0.576422385,0.634114282,0.652562475,0.539739164,0.645951744,0.690093467,0.696714966,0.683018812,0.691292087,0.743452062,0.647600283,0.674390557,0.705849166,0.697316504,0.542404841,0.568440288,0.597390351,0.838353498,0.8225784,0.68110672,0.849347685,0.648888964,0.554304972,0.582871371,0.554903611,0.732521554,0.79246542,0.580851728,0.728810431,0.580979548,0.643917629,0.540095238,0.739036087,0.814416005,0.676003073,0.768389573,0.493278966,0.624482097,0.954811744,0.715213918,0.678012493,0.698538818,0.807725269,0.844947995,0.774004523,0.465807523,0.393155038,0.620319292,0.451217856,0.607491096,0.647191327,0.607467714,0.559887848,0.648031372,0.68248522,0.44060296,0.790137075,0.632077634,0.792371825,0.518416471,0.733807441,0.654247438,0.706085468,0.66566781
15,113,39926,0.660884804,0.54458988,0.605423994,0.778736674,0.549840534,0.703408139,0.540211641,0.540396451,0.714972964,0.822464204,0.810909025,0.604534594,0.518552983,0.698722144,0.563783409,0.604290159,0.625517599,0.484519583,0.63078634,0.663991168,0.671927007,0.658750755,0.65427346,0.711777346,0.617594109,0.639619445,0.690918386,0.657430695,0.513166315,0.554731023,0.564416464,0.838528127,0.814663179,0.645262951,0.817589423,0.639469446,0.520599467,0.575589369,0.500025099,0.724920408,0.804692855,0.544367987,0.677918563,0.559409626,0.625802395,0.529571175,0.721426849,0.755580817,0.627831762,0.699034083,0.419648543,0.576784823,0.935710874,0.69681668,0.618685352,0.682231181,0.776762391,0.826286693,0.745703288,0.45510772,0.359695389,0.577940656,0.449942218,0.5933374,0.646840427,0.579820526,0.512737927,0.599209264,0.655817489,0.381577085,0.746692083,0.581782523,0.776307314,0.479063071,0.700042327,0.634632418,0.664047775,0.634876746
16,121,39934,0.603976739,0.507898834,0.502686694,0.728455259,0.497127906,0.656880484,0.512759235,0.504695131,0.682426468,0.815856111,0.805301118,0.531479736,0.48936438,0.647980211,0.533576336,0.563251965,0.594453823,0.433606045,0.600653299,0.618759006,0.637854086,0.624907042,0.611745597,0.669441508,0.57902246,0.592967784,0.661422905,0.60348548,0.482981496,0.5167908,0.536727915,0.814980057,0.800964094,0.597541655,0.766747362,0.612296948,0.461051705,0.568499618,0.44585344,0.716925229,0.793692275,0.491320634,0.625392344,0.499038222,0.582446658,0.505668878,0.686408423,0.693325297,0.571079221,0.628975789,0.355596368,0.519825228,0.90925157,0.665675081,0.551342689,0.642619926,0.730087921,0.792536596,0.706633615,0.435236867,0.339245012,0.532282499,0.434693092,0.583323647,0.614055051,0.534523962,0.47387513,0.542860126,0.620385229,0.32887033,0.699915521,0.53346567,0.742588392,0.429182995,0.638721464,0.611701637,0.611453182,0.600275844
17,129,39942,0.540688443,0.435119078,0.384045982,0.645773268,0.44318359,0.597438964,0.462640254,0.461136306,0.64181166,0.796404284,0.775393116,0.453321709,0.466765927,0.578703199,0.483665208,0.509874319,0.559979703,0.387508784,0.552785619,0.553293535,0.594475226,0.581570554,0.56738296,0.616987725,0.53183815,0.536864599,0.617168737,0.536092888,0.453872835,0.450440244,0.516668899,0.76268493,0.781309545,0.539091585,0.69602448,0.571709607,0.387190586,0.562439477,0.395360422,0.709049533,0.753389033,0.42051661,0.57441091,0.411505761,0.509752807,0.467843704,0.63314289,0.633178395,0.506417512,0.561878076,0.306651867,0.453983331,0.877042742,0.619553513,0.478726181,0.575356083,0.674662624,0.744965769,0.659040424,0.402803911,0.330955436,0.485659911,0.404364699,0.577305262,0.54201048,0.471111656,0.444643358,0.481412669,0.576853104,0.283662883,0.652472647,0.49127056,0.688088255,0.369066864,0.546758546,0.585675393,0.549739089,0.563397631
18,137,39950,0.477038744,0.347271797,0.269620741,0.540378675,0.391902294,0.529651217,0.398128592,0.413578269,0.595561043,0.76898822,0.727821081,0.374673263,0.450334526,0.498924684,0.421447682,0.449658368,0.524218087,0.347298513,0.493870808,0.476422246,0.545508392,0.533870147,0.520565365,0.558589591,0.478675586,0.474979696,0.562873841,0.459808109,0.427589855,0.365958095,0.505717797,0.69050578,0.757634622,0.474721739,0.613309089,0.523593637,0.314272717,0.557994508,0.351260327,0.70183769,0.692626276,0.340499231,0.528888752,0.313584364,0.416731151,0.422292041,0.56797577,0.578729599,0.438358968,0.498972974,0.274022457,0.385807208,0.843823625,0.563955151,0.405948509,0.489489691,0.619277838,0.689605402,0.60875345,0.362411956,0.330828054,0.440616064,0.364285323,0.574987733,0.44325995,0.397926043,0.425870957,0.420664042,0.528740926,0.246491174,0.606909523,0.452166316,0.620003952,0.306066262,0.434275744,0.559578148,0.484404639,0.527284553
19,145,39958,0.419046465,0.271745064,0.179529855,0.425418639,0.347437496,0.459343348,0.330252691,0.366986215,0.546775822,0.740544989,0.672121792,0.300736483,0.439562212,0.418945629,0.356704817,0.389761888,0.489670396,0.314186066,0.432960001,0.399455363,0.495606283,0.48819617,0.469598964,0.499328303,0.422839574,0.410982878,0.504484166,0.380172121,0.404790374,0.277237627,0.501889728,0.610777489,0.73240109,0.410156181,0.528660832,0.473835252,0.257554703,0.555687325,0.316203061,0.695841789,0.623976601,0.262245908,0.492924204,0.22204615,0.315668983,0.376895531,0.499048449,0.53308353,0.372375989,0.440884674,0.257835051,0.323386951,0.815116039,0.506317862,0.338715105,0.397420542,0.572724898,0.633677466,0.562498633,0.320662646,0.334076722,0.399751154,0.321391767,0.575476801,0.335201183,0.325511756,0.416324056,0.367253502,0.480282297,0.215316608,0.565742409,0.411328472,0.548113495,0.249298017,0.314697351,0.537135405,0.421964413,0.495356537
20,153,39966,0.371316413,0.229393796,0.128371171,0.314040318,0.313942675,0.392341461,0.27004099,0.326325336,0.4985572,0.71801166,0.617832026,0.236713452,0.433941016,0.349067001,0.299217672,0.337342655,0.458838052,0.289382278,0.379104337,0.333703109,0.449421599,0.450938974,0.412789909,0.44428506,0.367634919,0.34854395,0.447945659,0.302725903,0.38585928,0.198172113,0.502333996,0.535834938,0.708070712,0.351118972,0.452139354,0.42736641,0.228227859,0.556040539,0.292838529,0.691613916,0.560012604,0.196734052,0.470615598,0.150482848,0.218853592,0.339535816,0.434502307,0.499344809,0.313940977,0.388237367,0.258216561,0.274812655,0.7964418,0.454079514,0.282731401,0.311548425,0.541621298,0.583278416,0.527001911,0.284157625,0.335915296,0.365665373,0.282620834,0.577728267,0.235231902,0.264413429,0.414253232,0.327820306,0.435710819,0.18745683,0.531487568,0.363932562,0.482194897,0.207878955,0.20144766,0.522072668,0.368932989,0.471033509
